testId,FN,picFN,wordFN,faceFN,FP,picFP,wordFP,faceFP,TN,picTN,wordTN,faceTN,TP,picTP,pic-accuracy,wordTP,faceTP,video,diffCalm,diffHappy,CalmLevel,PositiveLevel,calm minus positive,userId,age,gender,englishLevel,hand,FP+TN,FN+TP
64,0,0,0,0,0.111111111,0,0.333333333,0,0.888888889,1,0.666666667,1,1,1,0.824864596,1,1,stress2,-1,0,7,3,4,24,35,male,native language,left,1,1
59,0,0,0,0,0.285714286,1,0,0,0.714285714,0,1,1,1,1,1,1,1,stress1,3,-4,7,5,2,23,36,male,native language,left,1,1
66,0.111111111,0,0,0.333333333,0,0,0,0,1,1,1,1,0.888888889,1,1,1,0.666666667,stress2,-1,0,6,5,1,23,36,male,native language,left,1,1
62,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0.824864596,1,1,calm,0,0,6,5,1,23,36,male,native language,left,1,1
60,0,0,0,0,0.714285714,1,0,1,0.285714286,0,1,0,1,1,0.858654678,1,1,stress1,0,0,1,9,-8,25,26,male,native language,right,1,1
65,0,0,0,0,0.555555556,0.666666667,0,1,0.444444444,0.333333333,1,0,1,1,0.824864596,1,1,stress2,0,0,1,9,-8,25,26,male,native language,right,1,1
68,0,0,0,0,0.380952381,0.285714286,0,0.857142857,0.619047619,0.714285714,1,0.142857143,1,1,1,1,1,calm,0,0,1,9,-8,25,26,male,native language,right,1,1
63,0.333333333,0,0,1,0.476190476,1,0.428571429,0,0.523809524,0,0.571428571,1,0.666666667,1,1,1,0,calm,0,0,4,7,-3,26,30,male,native language,right,1,1
67,0,0,0,0,0.428571429,1,0,0.333333333,0.571428571,0,1,0.666666667,1,1,0.839985887,1,1,stress1,4,-4,8,3,5,26,30,male,native language,right,1,1
69,0.166666667,0,0,0.5,0,0,0,0,1,1,1,1,0.833333333,1,1,1,0.5,stress2,0,-1,8,2,6,26,30,male,native language,right,1,1
70,0.875,1,0.666666667,1,0,0,0,0,1,1,1,1,0.125,0,0,0.333333333,0,stress1,-1,1,7,8,-1,27,30,female,native language,right,1,1
72,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,0,stress2,2,0,9,8,1,27,30,female,native language,right,1,1
73,0.888888889,1,0.666666667,1,0.095238095,0,0.285714286,0,0.904761905,1,0.714285714,1,0.111111111,0,0,0.333333333,0,calm,-2,0,7,8,-1,27,30,female,native language,right,1,1
71,0.111111111,0,0,0.333333333,0.428571429,0.571428571,0.428571429,0.285714286,0.571428571,0.428571429,0.571428571,0.714285714,0.888888889,1,1,1,0.666666667,calm,7,1,9,9,0,28,28,male,native language,right,1,1
74,0.25,0,0.333333333,0.5,0.428571429,0.5,0.5,0.333333333,0.571428571,0.5,0.5,0.666666667,0.75,1,0.845060428,0.666666667,0.5,stress1,-2,-3,7,6,1,28,28,male,native language,right,1,1
76,0,0,0,0,0.222222222,0,0.666666667,0,0.777777778,1,0.333333333,1,1,1,0.75605318,1,1,stress2,0,0,7,6,1,28,28,male,native language,right,1,1
75,0,0,0,0,0.285714286,0.5,0,0.333333333,0.714285714,0.5,1,0.666666667,1,1,1,1,1,stress1,0,0,7,7,0,29,26,female,native language,right,1,1
77,0.166666667,0,0,0.5,0.111111111,0,0.333333333,0,0.888888889,1,0.666666667,1,0.833333333,1,0.824864596,1,0.5,stress2,0,0,7,7,0,29,26,female,native language,right,1,1
78,0.555555556,0.666666667,0,1,0.142857143,0.142857143,0.285714286,0,0.857142857,0.857142857,0.714285714,1,0.444444444,0.333333333,0.333333333,1,0,calm,0,0,7,7,0,29,26,female,native language,right,1,1
79,0,0,0,0,0.285714286,0.5,0,0.333333333,0.714285714,0.5,1,0.666666667,1,1,1,1,1,stress1,0,0,7,7,0,31,32,male,native language,right,1,1
80,0,0,0,0,0.111111111,0,0.333333333,0,0.888888889,1,0.666666667,1,1,1,0.824864596,1,1,stress2,0,0,7,7,0,31,32,male,native language,right,1,1
81,0.111111111,0,0,0.333333333,0.095238095,0,0.142857143,0.142857143,0.904761905,1,0.857142857,0.857142857,0.888888889,1,1,1,0.666666667,calm,0,0,7,7,0,31,32,male,native language,right,1,1
152,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0.841018597,1,1,stress1,0,0,1,5,-4,63,36,male,native language,right,1,1
154,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,stress2,0,0,1,5,-4,63,36,male,native language,right,1,1
156,0,0,0,0,0.095238095,0.285714286,0,0,0.904761905,0.714285714,1,1,1,1,1,1,1,calm,0,0,1,5,-4,63,36,male,native language,right,1,1
153,0.333333333,0,0,1,0.047619048,0,0.142857143,0,0.952380952,1,0.857142857,1,0.666666667,1,1,1,0,calm,-1,1,2,8,-6,62,38,female,native language,right,1,1
155,0.25,0.666666667,0,0,0,0,0,0,1,1,1,1,0.75,0.333333333,0.333333333,1,1,stress1,3,-3,5,5,0,62,38,female,native language,right,1,1
159,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0.824864596,1,1,stress2,0,-1,5,4,1,62,38,female,native language,right,1,1
163,0,0,0,0,0.555555556,1,0.333333333,0.333333333,0.444444444,0,0.666666667,0.666666667,1,1,1,1,1,stress1,1,-1,6,6,0,65,31,male,native language,both,1,1
168,0,0,0,0,0.285714286,0.428571429,0,0.428571429,0.714285714,0.571428571,1,0.571428571,1,1,1,1,1,stress2,-2,0,4,6,-2,65,31,male,native language,both,1,1
157,0,0,0,0,0.428571429,0.5,0,0.666666667,0.571428571,0.5,1,0.333333333,1,1,1,1,1,calm,3,-1,7,5,2,65,31,male,native language,both,1,1
166,0.166666667,0,0,0.5,0.555555556,1,0.333333333,0.333333333,0.444444444,0,0.666666667,0.666666667,0.833333333,1,1,1,0.5,stress1,2,0,8,4,4,67,28,male,native language,left,1,1
170,0.111111111,0,0,0.333333333,0.333333333,0.571428571,0.142857143,0.285714286,0.666666667,0.428571429,0.857142857,0.714285714,0.888888889,1,1,1,0.666666667,stress2,-2,1,6,5,1,67,28,male,native language,left,1,1
162,0,0,0,0,0.714285714,1,0,1,0.285714286,0,1,0,1,1,0.80139342,1,1,calm,-2,3,4,8,-4,67,28,male,native language,left,1,1
169,0,0,0,0,0.428571429,1,0.142857143,0.142857143,0.571428571,0,0.857142857,0.857142857,1,1,1,1,1,calm,1,-2,4,5,-1,64,29,male,native language,right,1,1
171,0,0,0,0,0.285714286,1,0,0,0.714285714,0,1,1,1,1,0.756590118,1,1,stress1,3,-1,7,4,3,64,29,male,native language,right,1,1
172,0,0,0,0,0.444444444,0.666666667,0.333333333,0.333333333,0.555555556,0.333333333,0.666666667,0.666666667,1,1,0.824864596,1,1,stress2,1,2,8,6,2,64,29,male,native language,right,1,1
189,0,0,0,0,0.666666667,1,0,1,0.333333333,0,1,0,1,1,1,1,1,calm,-1,1,2,8,-6,72,32,male,native language,right,1,1
184,0,0,0,0,0.571428571,1,0,0.714285714,0.428571429,0,1,0.285714286,1,1,1,1,1,stress1,6,-5,8,3,5,72,32,male,native language,right,1,1
187,0,0,0,0,0.571428571,1,0,0.666666667,0.428571429,0,1,0.333333333,1,1,1,1,1,stress2,-1,-1,7,2,5,72,32,male,native language,right,1,1
203,0.111111111,0,0,0.333333333,0.19047619,0.285714286,0.142857143,0.142857143,0.80952381,0.714285714,0.857142857,0.857142857,0.888888889,1,1,1,0.666666667,calm,-1,-1,3,6,-3,80,53,male,native language,left,1,1
206,0.125,0,0.333333333,0,0.285714286,0.5,0,0.333333333,0.714285714,0.5,1,0.666666667,0.875,1,1,0.666666667,1,stress1,4,-2,7,4,3,80,53,male,native language,left,1,1
208,0,0,0,0,0.111111111,0.333333333,0,0,0.888888889,0.666666667,1,1,1,1,0.824864596,1,1,stress2,-4,1,3,5,-2,80,53,male,native language,left,1,1
204,0,0,0,0,0.285714286,1,0,0,0.714285714,0,1,1,1,1,0.756590118,1,1,stress1,0,0,1,5,-4,79,36,male,native language,right,1,1
210,0,0,0,0,0.111111111,0.333333333,0,0,0.888888889,0.666666667,1,1,1,1,0.824864596,1,1,stress2,0,0,1,5,-4,79,36,male,native language,right,1,1
212,0.111111111,0,0,0.333333333,0,0,0,0,1,1,1,1,0.888888889,1,1,1,0.666666667,calm,0,0,1,5,-4,79,36,male,native language,right,1,1
205,0,0,0,0,0.285714286,1,0,0,0.714285714,0,1,1,1,1,0.862832546,1,1,stress1,-1,1,7,8,-1,81,35,female,native language,right,1,1
